Unnamed: 0,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre
2855,1/29/2016,Fifty Shades of Black,5000000.0,11686940.0,22113075.0,Other,R,Comedy
2857,1/9/2009,Not Easily Broken,5000000.0,10572742.0,10732909.0,Sony Pictures,PG-13,Drama
2858,5/9/2014,Moms’ Night Out,5000000.0,10429707.0,10537341.0,Sony Pictures,PG,Adventure
2860,10/6/2000,Digimon: The Movie,5000000.0,9628751.0,16628751.0,20th Century Fox,PG,Adventure
2861,5/28/2004,Saved!,5000000.0,8886160.0,10206551.0,MGM,PG-13,Comedy
2862,5/9/2003,Les invasions barbares,5000000.0,8460000.0,25913869.0,Miramax,R,Drama
2864,4/27/2001,The Forsaken,5000000.0,6755271.0,6755271.0,Sony Pictures,R,Horror
2866,1/6/2006,Grandma’s Boy,5000000.0,6090172.0,6590172.0,20th Century Fox,R,Comedy
2867,8/14/1998,Slums of Beverly Hills,5000000.0,5502773.0,5502773.0,Other,R,Comedy
2868,7/13/2001,Made,5000000.0,5308707.0,5476060.0,Other,R,Comedy
2869,9/11/2015,90 Minutes in Heaven,5000000.0,4816142.0,4816142.0,Other,PG-13,Drama
2870,5/12/2006,Keeping Up with the Steins,5000000.0,4339241.0,4414753.0,Miramax,PG-13,Comedy
2871,10/10/1997,The Sweet Hereafter,5000000.0,4306697.0,7951247.0,Other,R,Drama
2872,8/6/2008,Bottle Shock,5000000.0,4078607.0,4815890.0,Other,PG-13,Drama
2873,2/25/2011,Des Hommes et Des Dieux,5000000.0,3954651.0,46263525.0,Other,PG-13,Drama
2875,3/3/2017,Table 19,5000000.0,3614896.0,4620399.0,Other,PG-13,Comedy
2876,4/15/2016,Green Room,5000000.0,3220371.0,3807503.0,Other,R,Horror
2877,11/16/1994,Heavenly Creatures,5000000.0,3046086.0,5438120.0,Miramax,R,Drama
2878,5/13/2011,Everything Must Go,5000000.0,2712131.0,2821010.0,Other,PG,Drama
2879,12/17/2010,Rabbit Hole,5000000.0,2229058.0,6205034.0,Lionsgate,PG-13,Drama
2881,1/30/1998,Zero Effect,5000000.0,2080693.0,2080693.0,Sony Pictures,R,Comedy
2884,2/21/1996,Bottle Rocket,5000000.0,407488.0,407488.0,Sony Pictures,R,Action
2885,8/16/2013,Ain't Them Bodies Saints,5000000.0,391611.0,1075009.0,Other,R,Drama
2886,1/17/1997,Albino Alligator,5000000.0,353480.0,353480.0,Miramax,R,Drama
2888,9/10/2010,"Lovely, Still",5000000.0,127564.0,282687.0,Other,PG,Drama
2889,11/16/2007,Redacted,5000000.0,65388.0,861325.0,Other,R,Drama
2890,10/17/2014,Rudderless,5000000.0,56001.0,567219.0,Other,R,Drama
2891,8/14/2009,Grace,5000000.0,8297.0,8297.0,Other,R,Horror
2895,1/23/2015,Mommy,4900000.0,3498695.0,17536004.0,Other,R,Drama
2896,11/20/1996,Sling Blade,4833610.0,24475416.0,34175000.0,Miramax,R,Drama
2897,1/6/2006,Hostel,4800000.0,47326473.0,82241110.0,Lionsgate,R,Horror
2898,9/30/2011,Take Shelter,4750000.0,1728953.0,4972016.0,Other,R,Drama
2901,3/4/2005,Dear Frankie,4600000.0,1340891.0,3099369.0,Miramax,PG-13,Drama
2902,12/29/2004,The Assassination of Richard Nixon,4600000.0,708776.0,4880143.0,Other,R,Drama
2904,3/23/1984,Police Academy,4500000.0,81198894.0,81198894.0,Warner Bros.,R,Comedy
2905,6/20/1980,The Blue Lagoon,4500000.0,47923795.0,47923795.0,Universal,R,Drama
2907,9/28/1996,Secrets & Lies,4500000.0,13417292.0,13417292.0,Other,R,Drama
2908,12/19/2002,25th Hour,4500000.0,13084595.0,25344490.0,Walt Disney,R,Drama
2910,10/24/2008,Låt den rätte komma in,4500000.0,2122085.0,12247682.0,Other,R,Horror
2911,2/12/1999,Tango,4500000.0,1687311.0,5428387.0,Other,PG-13,Drama
2913,10/26/2001,Donnie Darko,4500000.0,1480006.0,7510877.0,Other,R,Drama
2914,9/2/2011,Salvando al Soldado Perez,4500000.0,1400726.0,9330465.0,Lionsgate,PG-13,Action
2915,3/27/1998,Karakter,4500000.0,713413.0,713413.0,Other,R,Drama
2916,10/7/2011,Blackthorn,4500000.0,200558.0,1217307.0,Other,R,Adventure
2917,5/8/2015,Maggie,4500000.0,187112.0,664346.0,Other,PG-13,Drama
2918,4/18/2003,Lilja 4-ever,4500000.0,181655.0,4556982.0,Other,R,Drama
2921,9/4/2014,Falcon Rising,4500000.0,11774.0,11774.0,Other,R,Adventure
2923,11/19/1975,One Flew Over the Cuckoo's Nest,4400000.0,108981275.0,108997629.0,MGM,R,Drama
2925,6/6/2003,Whale Rider,4300000.0,20779666.0,39374600.0,Other,PG-13,Drama
2926,6/13/2001,Sexy Beast,4300000.0,6946056.0,10158355.0,Other,R,Drama
2927,10/19/1990,Night of the Living Dead,4200000.0,5835247.0,5835247.0,Sony Pictures,R,Horror
2928,8/13/2010,Animal Kingdom,4200000.0,1044039.0,8078683.0,Other,R,Drama
2930,3/6/1998,Love and Death on Long Island,4030000.0,2542264.0,2542264.0,Lionsgate,PG-13,Drama
2931,3/19/1982,Porky's,4000000.0,109492484.0,109492484.0,20th Century Fox,R,Comedy
2933,11/25/1992,The Crying Game,4000000.0,62546695.0,62546695.0,Miramax,R,Drama
2934,9/12/2003,Lost in Translation,4000000.0,44585453.0,117085297.0,Other,R,Drama
2936,10/27/1995,Leaving Las Vegas,4000000.0,31983777.0,49800000.0,MGM,R,Drama
2937,12/26/2001,Monster's Ball,4000000.0,31273922.0,43766463.0,Lionsgate,R,Drama
2938,7/11/2014,Boyhood,4000000.0,25379975.0,57273049.0,Other,R,Drama
2939,7/9/2010,The Kids Are All Right,4000000.0,20811365.0,36275469.0,Other,R,Comedy
2940,8/17/1979,Life of Brian,4000000.0,20008693.0,20008693.0,Warner Bros.,R,Comedy
2941,4/18/2014,A Haunted House 2,4000000.0,17329487.0,21206861.0,Other,R,Comedy
2942,3/1/2013,The Last Exorcism Part II,4000000.0,15179303.0,25448707.0,Other,PG-13,Horror
2944,8/16/1985,The Return of the Living Dead,4000000.0,14237880.0,14237880.0,Other,R,Horror
2945,8/4/2000,Saving Grace,4000000.0,12178602.0,27786849.0,Other,R,Comedy
2948,11/14/2001,The Wash,4000000.0,10097096.0,10097096.0,Lionsgate,R,Comedy
2949,3/1/2000,3 Strikes,4000000.0,9821335.0,9821335.0,MGM,R,Comedy
2950,4/11/2008,The Visitor,4000000.0,9427026.0,19174817.0,Other,PG-13,Comedy
2951,11/26/2003,The Cooler,4000000.0,8291572.0,11131455.0,Lionsgate,R,Drama
2952,8/4/2006,The Night Listener,4000000.0,7836393.0,10770993.0,Miramax,R,Drama
2953,2/3/1995,The Jerky Boys,4000000.0,7555256.0,7555256.0,Walt Disney,R,Comedy
2954,12/28/2007,El orfanato,4000000.0,7159147.0,79250193.0,Other,R,Horror
2955,5/25/2007,Bug,4000000.0,7006708.0,8302995.0,Lionsgate,R,Drama
2956,11/17/2006,Let's Go to Prison,4000000.0,4630045.0,4630045.0,Universal,R,Comedy
2957,12/25/1995,Four Rooms,4000000.0,4301000.0,4301000.0,Miramax,R,Comedy
2958,9/20/2002,Secretary,4000000.0,4046737.0,9413956.0,Lionsgate,R,Drama
2960,1/31/1997,Waiting for Guffman,4000000.0,2922988.0,2922988.0,Other,R,Comedy
2962,9/16/2005,Thumbsucker,4000000.0,1328679.0,1919197.0,Other,R,Comedy
2964,9/30/2005,MirrorMask,4000000.0,864959.0,973613.0,Other,PG,Drama
2966,3/7/2014,The Face of Love,4000000.0,385069.0,1158877.0,Other,PG-13,Drama
2967,4/11/2014,Joe,4000000.0,373375.0,373375.0,Other,R,Drama
2969,5/8/2009,Adoration,4000000.0,294244.0,384244.0,Other,R,Drama
2970,1/28/2000,The Big Tease,4000000.0,185577.0,185577.0,Warner Bros.,R,Comedy
2971,4/10/2015,Desert Dancer,4000000.0,155271.0,338109.0,Other,PG-13,Drama
2972,1/30/2015,"Guten Tag, Ramon",4000000.0,154356.0,4854356.0,20th Century Fox,PG-13,Drama
2973,6/19/2015,Manglehorn,4000000.0,132270.0,797439.0,Other,PG-13,Drama
2976,4/1/2011,Trust,4000000.0,120016.0,120016.0,Other,R,Drama
2977,12/22/2000,An Everlasting Piece,4000000.0,75078.0,75078.0,Other,R,Comedy
2978,4/22/2011,Stake Land,4000000.0,33245.0,679482.0,Other,R,Horror
2981,6/1/2012,The Loved Ones,4000000.0,0.0,12302.0,Paramount Pictures,R,Horror
2983,12/15/1939,Gone with the Wind,3900000.0,198680470.0,390525192.0,MGM,G,Drama
2986,4/30/2010,The Good Heart,3800000.0,20930.0,340930.0,Other,R,Drama
2988,8/11/2006,Casa de Areia,3750000.0,539285.0,1178175.0,Other,R,Drama
2990,11/21/2006,The History Boys,3700000.0,2730296.0,13447998.0,Other,R,Comedy
